pipi1250	Pipil
tete1251	Aztec_Tetelcingo
high1278	Aztec_Zacapoaxtla
clas1250	ClassicalAztec
cora1260	Cora
huic1243	Huichol
cahu1264	Cahuilla
chem1251	SouthernUte
coma1245	Comanche
cupe1243	Cupeno
eude1234	Eudeve
tong1329	Gabrielino
huar1255	Guarijio
hopi1249	Hopi
kawa1283	Kawaiisu
serr1255	Kitanemuk
luis1254	Luiseno
mayo1264	Mayo
mono1275	Mono
nort2954	NorthernPaiute
nort2959	NorthernTepehuan
opat1246	Opata
pana1305	Pannamint
toho1245	PapagoPima
pima1248	PimadeOnavas
serr1255	Serrano
gosi1242	Shoshoni_GosiuteDialect
sout2969	SouthernPaiute
utee1244	SouthernUte
sout2977	SoutheasternTepehuan
tara1321	Tarahumara
tuba1279	Tubar
tuba1278	Tubatulabel
yaqu1251	Yaqui
